RefDes,Name,X (mm),Y (mm),Side,Rotate,Value
C1,CAP_0603,24.63,6.7,Top,0,opt
C2,CAP_1210,45.08,12.96,Top,90,22u
C3,CAP_1210,48.06,12.96,Top,90,22u
C4,CAP_1210,51,12.97,Top,90,22u
C5,CAP_1210,53.93,12.97,Top,90,22u
C6,CAP_0603,29.28,6.81,Top,0,4.7n
C7,CAP_0805,15.33,8.41,Top,180,1u
C8,CAP_0603,29.23,8.44,Top,0,47p
C9,CAP_0805,29.42,14.29,Top,0,1u
C10,CAP_0805,64.49,14.4,Top,90,1u
C11,CAP_0805,62.21,14.44,Top,90,1u
C12,CAP_1210,37.55,32.64,Top,90,22u
C13,CAP_1210,40.65,32.6,Top,90,22u
C14,CAP_0805,15.59,17.93,Top,0,1u
C15,CAP_0805,29.19,17.95,Top,0,1u
C16,CAP_0603,52.32,21.65,Top,90,47p
C17,CAP_0603,51.92,33.56,Top,90,47p
C18,CAP_1210,7.25,31.45,Top,270,22u
C19,CAP_1210,4.15,31.46,Top,270,22u
C20,CAP_0603,63.17,21.65,Top,90,47p
C21,CAP_0603,63.51,33.76,Top,90,47p
C22,CAP_0805,86.85,27.5,Top,180,1u
C23,CAP_1210,82.39,26.8,Top,90,22u
C24,CAP_0603,84.3,17.19,Top,270,opt
C25,CAP_0805,52.09,27.94,Top,90,1u
C26,CAP_0805,63.63,27.94,Top,90,1u
C27,CAP_1210,75.72,8.86,Top,90,22u
C28,CAP_1210,81.76,8.86,Top,90,22u
C29,CAP_0805,76.2,24.45,Top,90,1u
D1,B240-FDICT,6.57,23.28,Top,270,
D2,B240-FDICT,38.13,24.64,Top,270,
D3,MM3Z18VST1G,15.19,13.08,Top,180,18V Zener
D4,LED,92.05,34.18,Top,270,
J1,90131-0132,95.25,21.59,Bottom,90,
J2,1-644456-0,59.69,5.08,Top,0,
J3,90131-0125,100.33,12.7,Top,90,
J4,90131-0125,100.33,27.94,Top,90,
J5,22272031,22.05,36.51,Top,0,
J6,03JQ-BT,47.11,25.65,Top,90,
J7,03JQ-BT,69.3,25.64,Top,90,
J8,B2B-XH-A,87.63,34.29,Top,90,
J9,644456-3,74.93,33.02,Top,90,
J10,644456-4,74.62,16.51,Top,90,
J11,644456-8,91.44,16.51,Top,90,
J12,644456-8,78.74,16.51,Top,90,
J15,1-644456-5,50.8,2.54,Bottom,180,
Q1,2N7002,80.4,34.85,Top,0,
R1,RES_0603,21.53,8.14,Top,180,0
R2,RES_0603,21.51,6.7,Top,180,opt
R3,RES_0603,24.63,8.15,Top,180,165k
R4,RES_0603,35.45,7.68,Top,270,0
R5,RES_0603,32.71,8.4,Top,180,10k
R6,RES_0603,32.7,6.83,Top,180,opt
R7,RES_0603,15.32,9.93,Top,0,84.5k
R8,RES_0603,29.43,11.67,Top,0,100k
R9,RES_0603,15.36,11.41,Top,0,10k
R10,RES_0603,34.09,11.56,Top,180,0
R11,RES_0603,15.34,14.41,Top,0,100k
R12,RES_0603,15.38,15.9,Top,0,100k
R13,RES_0603,61.18,11.59,Top,0,10k
R14,RES_0603,57.89,11.59,Top,180,opt
R15,RES_0603,70.49,16.41,Top,90,25
R16,RES_0603,70.49,12.92,Top,90,opt
R17,RES_0603,53.75,21.65,Top,90,100k
R18,RES_0603,56.54,21.65,Top,90,100k
R19,RES_0603,50.89,21.66,Top,270,100k
R20,RES_0603,53.82,33.6,Top,270,100k
R21,RES_0603,55.11,21.65,Top,90,100k
R22,RES_0603,50.17,33.56,Top,90,100k
R23,RES_0603,61.82,21.65,Top,90,100k
R24,RES_0603,59.06,21.65,Top,90,100k
R25,RES_0603,64.54,21.68,Top,270,100k
R26,RES_0603,61.76,33.71,Top,270,100k
R27,RES_0603,60.44,21.65,Top,90,100k
R28,RES_0603,65.25,33.71,Top,90,100k
R29,RES_0603,78.89,29.11,Top,90,0
R30,RES_0603,78.38,31.43,Top,0,opt
R31,RES_0603,91.25,27.7,Top,0,0
R32,RES_0603,86.52,17.23,Top,90,0
R33,RES_0603,82.39,18.78,Top,90,opt
R34,RES_0603,77.57,34.95,Top,270,100k
R35,RES_0603,46.45,34.3,Top,180,25
R36,RES_0603,46.45,35.8,Top,0,25
R37,RES_0603,87.21,7.62,Top,0,100k
R38,RES_0603,86.94,10.32,Top,180,opt
R39,RES_0603,44.2,6.78,Top,90,0
R40,RES_0603,86.95,12.12,Top,180,0
R41,RES_0603,86.95,14.05,Top,180,opt
R42,RES_0603,81.85,32.18,Top,90,10k
R43,RES_0603,92.08,30.93,Top,90,opt
T1,SRF1260,15.54,25.69,Top,0,10u
T2,SRF1260,29.03,25.69,Top,0,10u
U1,LT3579FE,22.77,13.16,Top,180,
U2,NCP1117ST50T3G,85.37,22.61,Top,180,
U3,LTC2602CMS8,67.66,14.11,Top,90,
U4,LM4040DIM3-4.1,58.71,14.45,Top,180,
U5,TL084D,57.79,27.94,Top,90,
R44,RES_0603,17.94,13.6,Top,270,10k
