,RefDes,Name,Value,Quantity,Pattern,Manufacturer,Part Number
Fitted,"C101, C201, C203, C204, C205",CAP_0603,100p,5,CAP_0603,Murata,GCM1885C2A101JA16D
Fitted,C102,CAP_0603,6.8n,1,CAP_0603,Murata,GRM1885C1H682JA01D
Fitted,"C103, C208, C209, C502",CAP_0805,10u,4,CAP_0805,Samsung,CL21A106KAYNNNE
Fitted,"C104, C105, C109, C110, C112, C113, C302, C303, C501",CAP_1210,22u,9,CAP_1210,Taiyo Yuden,TMK325BJ226MM-T
Fitted,"C106, C108, C111, C114, C115, C202, C206, C210, C301",CAP_0805,1u,9,CAP_0805,Samsung,CL21F105ZBFNNNE
Not-fitted,C107,CAP_0603,opt,1,CAP_0603,,
Fitted,C207,CAP_0805,0.1u,1,CAP_0805,Murata,GCM21BR71H104KA37K
Fitted,"D101, D102, D103, D106, D107, D501, D502",PMEG4020ETP,,7,SOD-128,Nexperia,"PMEG4020ETP,115"
Fitted,"D104, D105, D401",APL3015SRCPRV-F01,,3,APL3015,Kingbright,APL3015SRCPRV-F01
Fitted,"FB101, FB201, FB301",BLM18KG221SN1D,220 @ 100MHz,3,RES_0603,Murata,BLM18KG221SN1D
Not-fitted,"FD1, FD2, FD3",Fiducial,,3,Fiducial,,
Fitted,"J1, J2, J4, J5, J7, J8",644456-8,,6,HDR-1x8T/2.54/20x2,TE Connectivity,644456-8
Fitted,J3,90131-0138,,1,HDR-2x18T/2.54x2.54/46x5,Molex,90131-0138
Not-fitted,"J6, J9",90131-0125,,2,HDR-2x5T/2.54x2.54/13x5,Molex,90131-0125
Fitted,"J10, J11, J12, J13, J203, J301",644456-4,,6,HDR-1x4T/2.54/10x2,TE Connectivity,644456-4
Fitted,J101,22272031,,1,Molex 3pin,Molex,22272031
Fitted,"J201, J202",B3B-XH-A,,2,JST B3B-XH-A,JST,B3B-XH-A
Fitted,"J302, J303",PPTC081LFBN-RC,,2,HDR-1x8T/2.54/20x2,Sullins,PPTC081LFBN-RC
Fitted,"J401, J402",B2B-XH-A,,2,JST B2B-XH-A,JST,B2B-XH-A
Fitted,J501,OSTVN04A150,,1,TB-1x4/2.54/11x7/Sc_H,On Shore,OSTVN04A150
Fitted,J502,644456-2,,1,HDR-1x2T/2.54/5x2,TE Connectivity,644456-2
Fitted,L101,IHLP3232DZER330M11,33uH,1,IHLP3232CZER,Vishay Dale,IHLP3232DZER330M11
Fitted,"Q401, Q402, Q403",2N7002,,3,SOT23,Diodes,2N7002-7-F
Fitted,"Q501, Q502",IRLZ44N,,2,TO-220,Infineon,IRLZ44NPBF
Fitted,"R101, R301, R303",RES_0603,0,3,RES_0603,Panasonic,ERJ-3GEY0R00V
Fitted,"R102, R105, R401",RES_0603,10k,3,RES_0603,Panasonic,ERJ-3EKF1002V
Fitted,"R103, R104, R202, R203, R204, R206, R207, R208, R209, R211, R402, R403, R504, R505",RES_0603,100k,14,RES_0603,Panasonic,ERJ-3EKF1003V
Fitted,R106,RES_0603,53k6,1,RES_0603,Panasonic,ERJ-3EKF5362V
Fitted,R107,RES_0603,165k,1,RES_0603,Yageo,RC0603FR-07165KL
Fitted,"R108, R109, R205, R210",RES_0603,49k9,4,RES_0603,Panasonic,ERJ-3EKF4992V
Fitted,R110,RES_2512,10k,1,RES_2512,Stackpole,RMCF2512FT10K0
Fitted,R201,RES_0603,1k,1,RES_0603,Panasonic,ERJ-3EKF1001V
Fitted,"R212, R213, R501, R502",RES_0603,24r9,4,RES_0603,Panasonic,ERJ-3EKF24R9V
Not-fitted,"R302, R304, R305, R306, R307",RES_0603,opt,5,RES_0603,,
Fitted,R503,RES_0603,4k7,1,RES_0603,Panasonic,ERJ-3EKF4701V
Not-fitted,"TP101, TP102, TP103, TP201, TP202, TP203, TP204, TP205, TP206, TP207, TP208, TP401, TP402, TP501, TP502, TP503",TESTPOINT,,16,Round,,
Fitted,U101,LT3581EMSE,,1,MSOP-16EP,Linear Technology,LT3581EMSE#PBF
Fitted,U201,LM4040DIM3-4.1,,1,SOT23,Texas Instruments,LM4040DIM3-4.1/NOPB
Fitted,U202,TL084D,,1,SOIC-14/150mil,Texas Instruments,TL084CDR
Fitted,U203,LTC2602CMS8,,1,MSOP-8,Linear Technology,LTC2602CMS8#PBF
Not-fitted,X1,Arduino Mega,,1,,,
Not-fitted,X301,A4988 Carrier,,1,,,
,,,,83,,,
,,,,24,,,
